"","GSM4308223","GSM4308224","GSM4308225","GSM4308226","GSM4308227","GSM4308228","GSM4308229","GSM4308230","GSM4308231","GSM4308232","GSM4308233","GSM4308234","GSM4308235","GSM4308236","GSM4308237","GSM4308238","GSM4308239","GSM4308240","GSM4308241","GSM4308242","GSM4308243","GSM4308244","GSM4308245","GSM4308246","GSM4308247","GSM4308248","GSM4308249","GSM4308250","GSM4308251","GSM4308252","GSM4308253","GSM4308254","GSM4308255","GSM4308256"
"DarkCorner",8.56730243783465,8.88393203488461,7.24996009112585,7.15068456664393,7.90135325826297,6.90519924687687,7.07471200406424,7.00755321491874,6.90294062451381,7.07582888375984,7.11047182563089,7.12699143480024,7.10497922894791,7.94289272336013,7.36053108290391,8.35843142862635,8.7478734082549,7.00749491030207,7.08042849367163,6.99788512782911,7.04254366039472,6.92882864346274,8.39184761165514,8.40219220351731,8.4891378754187,8.4892651464335,8.77782044501025,8.50990284242095,8.70155806682824,8.25090947948133,8.8737326226735,8.82320799339439,8.67469297477665,8.64740230056858
"dmr_285",8.55824122624884,8.86358696125209,7.02560801596734,6.9091430473399,7.77812773799537,6.80029293461311,6.92844731207934,6.95556389535072,6.82037556409511,6.91592477970446,6.95937836766414,6.97072253610984,6.94251450533924,7.99991039232993,6.9781738883965,8.38164287652588,8.73980929465265,6.94467809765543,6.98290575580165,6.90057944763201,6.89891573824438,6.82017896241519,8.33762190199251,8.39368004002294,8.49816348926954,8.45399858941859,8.70236526277429,8.35256830793166,8.63174565293459,8.22626189419121,8.74824954974546,8.71974098037706,8.60020321111539,8.60674312836676
"dmr_3",8.63409079318668,8.63710773373775,6.965608842278,6.90485496014037,8.05803340602873,6.91443297202682,6.9699747044009,7.04237512010357,6.93291865084213,7.03140291615557,7.0061678433035,7.85593925689879,7.99644072230636,8.31410645872695,6.96824169706413,8.28084452660903,8.74897907187016,6.97604623540884,6.96116025813664,6.9584854364252,6.89784545600551,7.45208553217819,8.47806498358255,8.512360433938,8.41599775529829,8.53551839776867,8.72254082135172,8.30476381984487,8.78287211088069,8.35804850536277,8.71712356962085,8.77633037865524,8.72565016734033,8.76655441641427
"dmr_308",8.62885195287404,8.68416406151618,7.01017896361124,6.94307270858774,8.10675397856778,6.8744047690034,6.99109209136995,7.07715004979747,6.86817558859812,7.0044654367703,6.99435343685886,10.4530380552935,7.44747092424006,8.31189042084559,6.98378256441979,8.21417192925286,8.76445696361989,6.88738026285478,6.93516504960369,7.01603715888143,6.93931239389976,7.5702010544666,8.38599307830963,8.52760328522149,8.26100983155348,8.47716649848828,8.71346968876334,8.29612744033496,8.80184510537716,8.37849818462555,8.71009592944765,8.74608094368906,8.64827056824551,8.59480604405192
"dmr_316",8.60455322907904,8.93087598335433,7.0389189892923,6.98530801259531,7.89841274401713,6.8371018448408,6.99784336314321,7.05158962076266,6.88493364794976,6.93803873390916,7.00017356380637,6.98733678460764,6.98778243630505,7.98106089412957,6.99694004709859,8.46536233167222,8.69287838820953,6.94341620112829,6.96889484193123,6.94946256300405,6.9169077165446,6.87248281592268,8.38695662235206,8.45693178830721,8.57539364641008,8.58264857698985,8.72942565216412,8.48189547362124,8.70479624587286,8.30760475274322,8.78505025574553,8.76455582154286,8.6320569586471,8.68018368159249
"dmr_31a",8.55305325276641,8.89759742421736,7.16869117010428,6.95724485259432,7.85798099512757,6.9205660428929,6.99565862673821,7.03731412729884,6.83330504566606,6.98971692354107,7.09006900580252,6.96350880372732,7.05961485629722,8.08566631037792,7.03565799739681,8.39140213751933,8.66904874035518,6.94180353896909,6.98430907757761,6.9083698016915,6.90984749268664,6.8117766974161,8.34699853906449,8.42126328000979,8.52510536273326,8.52178454334354,8.73560882304539,8.42536110980523,8.68531471893836,8.31821469201724,8.75303084184962,8.785373342544,8.59541824859007,8.67398953494146
"dmr_6",8.50028859102822,8.55357285204823,7.00054541595113,6.94081041541061,7.78821326024904,6.80239228478092,7.04600532174082,6.84372512031246,6.88481035367111,6.8321115081452,6.91587937883577,7.52356195605701,7.40514146313634,8.08931011111676,6.88467972348446,8.24740823961643,8.58911815902948,6.92509507792223,6.82839294051705,6.93835872472133,6.87255053383544,6.70699599662627,8.26545752512042,8.36733087372974,8.467605550083,8.45368218587218,8.746126639234,8.25856603388993,8.64368954887381,8.18997672553733,8.61844386965589,8.65139330388482,8.54626208142667,8.53440444149775
"ebv-miR-BART1-3p",8.64167896361163,8.87717797916932,7.00571324133779,7.08015130961409,7.86304268087661,6.8407300951804,6.98886756801622,6.95006242407912,6.8744047690034,7.00299049064768,6.99963589898204,6.9385998473725,7.00138680012235,8.06182856992162,7.00272952003437,8.98224779945378,8.68445198725401,6.96560422508503,6.96938652134228,6.86478538876823,6.90561444849666,7.00017919864492,8.3810436533769,8.38756718041684,8.53235592528885,8.45268685212838,8.72088550359373,8.44407357881124,8.67463366176727,8.40720147099074,8.74120370424186,8.80683539390458,8.62981922840318,8.68505465667693
"ebv-miR-BART1-5p",8.61623196742129,8.84500007869571,7.05951319354456,7.07280253454421,13.4646159434487,7.0300976696518,7.06414670485892,7.18084206272619,6.88338376866357,7.02956331443266,7.0315584078006,7.07979089070441,7.05110450831401,8.10203815575071,7.20775037066375,8.36787730057053,8.76422803839781,7.02680005934372,7.0480323330225,6.97586974437135,6.93701828926734,7.90303465372709,8.37851162325373,8.3761931259633,8.60850433765849,8.58199930495736,8.74552744227189,8.4966540825935,8.73030029846004,8.33877247734966,8.76905199708291,8.73395115934135,8.67612492606685,8.67908911136053
"ebv-miR-BART10",8.59584563047437,8.81935492271939,7.21823094822478,7.04580333739261,7.77134156091698,6.89257802981686,7.0539258815311,7.01303005654315,6.86941617493227,6.99599547709752,7.06944976742778,6.99461479557919,7.03393170963228,8.05545218624643,7.05421466307332,8.41938551274325,8.78598432814495,7.00767205934061,7.01297420688207,6.94251450533924,7.02236781302845,6.95714848572547,8.36451684194385,8.40007890262201,8.53743430320974,8.53776430780075,8.77027009161052,8.43370143626207,8.63771746487584,8.3274825846599,8.77602171525281,8.80709083317071,8.6364520667979,8.68126617592191
"ebv-miR-BART11-3p",8.80556461220122,8.67557108685455,6.98953187931438,6.9663174062344,15.7047760730285,6.79725686609409,7.02305015737138,7.00856196014932,6.85989254281493,7.01419458779694,6.98290347472023,7.16652967397063,7.56652978262417,8.19452935351338,7.05934446082443,8.37544697858117,8.79416597252727,7.13238765132629,6.95105386529196,6.96418489232971,6.94464530466,8.50512834453488,8.43244543911594,8.48344377189817,8.58296125247734,8.561944312781,8.74349881115385,8.35892586915471,8.70797128472718,8.3340426144611,8.71714105304176,8.79528869271292,8.70822173003835,8.74294095066659
