"","GSM3618686","GSM3618687","GSM3618688","GSM3618689","GSM3618690","GSM3618691","GSM3618692","GSM3618693"
"100009600_at",NA,NA,NA,NA,NA,NA,NA,NA
"100009609_at",NA,NA,NA,NA,NA,NA,NA,NA
"100009614_at",NA,-6.08716535935131,-6.44995415246054,NA,-6.9093058410356,NA,NA,-5.43337655186791
"100012_at",NA,NA,NA,NA,NA,NA,NA,NA
"100017_at",0.0415623517105049,-0.00160412962880198,-0.00808462379640411,0.0445465830083043,0.0736008515760515,-0.0127281144897976,-0.0834184993291002,0.0883568558816643
"100019_at",-2.34805316545851,-2.09230402832073,-2.39336419744916,-2.28546409160852,-2.29208778839779,-2.0696486638483,-1.94119783749972,-2.82483568875851
"100033459_at",NA,NA,NA,NA,NA,NA,NA,NA
"100034251_at",1.16772574816884,1.155364954517,1.06182772109461,1.26617731087876,1.17878625442934,1.27839006505777,1.05200253967868,1.05305519123828
"100034748_at",NA,NA,NA,NA,NA,NA,NA,NA
"100036520_at",NA,NA,NA,NA,NA,NA,NA,NA
"100036521_at",-1.06817160525909,-1.20917755708845,-1.37220536041214,-0.901432668563973,-0.922198103984243,-1.34620967691226,-1.67970236052773,-1.52346472763873
"100036523_at",-3.07891885659632,-3.1128462406481,-3.55810647085208,-3.04672895519709,-3.42513187862233,-3.21422829577283,-3.02862332514306,-3.06470527728005
"100036537_at",NA,NA,NA,NA,NA,NA,NA,NA
"100036768_at",NA,NA,NA,NA,NA,NA,NA,NA
"100037258_at",1.11321704266227,1.08412835305061,1.09795109633872,1.10018918207387,1.05869818809072,1.09968642095875,1.0554334807586,1.15793195177012
"100037260_at",NA,NA,NA,NA,NA,NA,-6.8182439403121,NA
"100037262_at",-3.24575419397234,-4.04739673824168,-4.99789750631838,-3.70970219080591,-3.22496723718182,-4.17224006938181,-4.22577375293202,-4.0220120864875
"100037278_at",NA,-11.7489904764449,NA,NA,-4.99997290067087,NA,NA,NA
"100037396_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038347_at",-1.80673131919338,-1.66051387857903,-1.82243804801957,-1.3342834357479,-1.46969571594108,-1.10915296489781,-1.58232052332356,-1.88499951712695
"100038353_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038356_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038358_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038363_at",-3.5597721050785,-3.18350915684848,-3.86307234715112,-2.85749770399786,-3.47462527555464,-2.07048989849409,-2.24820379543839,-3.82810885682606
"100038371_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038374_at",-5.86094461459066,-4.94952296562275,-4.09735760416751,-9.00556618470389,-5.1245091401822,-4.81193943711105,-3.6419309720857,-3.7096560401274
"100038378_at",-3.54199641376843,-3.98218661524909,-2.22402458895338,-3.78605917486949,-2.78260641053156,-2.67142218731128,-3.93036298224764,-3.47602092200619
"100038384_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038388_at",-4.03525310166345,-3.04424669644205,-3.77550659307892,-5.12521641513531,-4.22183767134176,-4.44640486225754,NA,NA
"100038410_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038417_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038429_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038437_at",-4.6771969693365,-2.98789426452884,-3.60230749093677,-3.77288817989865,-3.73598243441408,-4.56425177122202,-3.54245181628978,-3.63907119426839
"100038439_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038453_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038454_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038460_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038464_at",0.526217960591193,0.639946433072462,0.18054134108575,0.856776098461481,0.379407935344672,0.161760349490567,0.539167704783621,-0.120995415878196
"100038467_at",NA,-6.72714185463617,NA,NA,NA,NA,NA,-5.75927772625183
"100038468_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038476_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038479_at",-4.37831739648479,NA,NA,NA,NA,NA,NA,-3.80923567610989
"100038489_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038492_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038493_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038494_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038504_at",NA,NA,NA,NA,NA,-8.11215464555604,NA,NA
"100038513_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038516_at",NA,-5.1798732088321,-6.21991804877115,-5.98182519156247,-5.12193914090926,-7.06753722858022,-4.29139097852112,-4.44481448170427
"100038522_at",-4.1398921377371,-4.23362885521475,-5.03684239808489,-6.70300838484831,-6.38813576071967,-6.05848123341614,-4.15364937157492,-3.10339830955862
"100038525_at",-5.74774797841282,-4.91510402448654,-4.9885272612652,NA,NA,-6.88143729296093,-6.46347978205996,-3.12027902904662
"100038526_at",-7.35041530894932,NA,NA,NA,NA,NA,NA,NA
"100038538_at",-3.64208588130575,-3.82442096107335,-3.1963390529275,-2.46903479243521,-1.78099650261405,-3.02725457041971,-3.36867950144677,-3.97883428268492
"100038545_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038554_at",-3.60933970950938,-4.46438007671343,-3.38528797005625,-5.26154845218267,-4.11032540846351,-3.73177786409712,-3.41272204388748,-3.07473561372767
"100038555_at",-4.02528737337108,-4.17128050757373,-4.09796391001711,-6.45664472853454,-5.2596114388557,-4.94981364937868,-5.15513491999173,-3.40319469360857
"100038556_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038560_at",-4.62397113050688,-3.22045717687588,-6.05549543485021,-2.90343140509565,NA,-5.38661162041416,-8.87348143696159,NA
"100038566_at",-0.815510941604698,-0.747558500583092,-0.7861793269171,-0.493252067341663,-0.470477322217768,-0.347141922956323,-0.830368522599928,-0.886599487254616
"100038570_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038571_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038574_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038575_at",NA,-4.57351330367119,-5.79289526743898,NA,-7.97367101518008,-8.36640697506934,NA,NA
"100038577_at",-6.19123629746043,NA,-6.61082188281484,-5.39265943974871,-5.10825825793723,NA,-5.67985768597455,-5.82365802559934
"100038584_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038591_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038595_at",-7.97244794982145,-3.91335219593264,-4.19474283988019,-5.03832264814744,-4.18370919801933,-3.96169373698548,-3.38485921976047,-3.82170839640331
"100038599_at",NA,-8.13796891758613,NA,NA,NA,NA,-7.28662107801359,-8.91097400226459
"100038600_at",NA,NA,-9.40713361571265,NA,-8.64100478158968,NA,NA,-5.61234383222104
"100038601_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038602_at",NA,-6.3770152099159,-5.8327027515181,-5.6353464249732,NA,NA,NA,NA
"100038607_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038608_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038614_at",NA,NA,NA,NA,NA,NA,NA,-5.47941061321118
"100038617_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038623_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038627_at",NA,NA,NA,NA,NA,NA,NA,-7.35236272394856
"100038628_at",0.456894226096148,0.479531898792454,0.408718769647445,0.579882952766412,0.635228036332928,0.509831453453254,0.413731659349945,0.387955889277057
"100038636_at",NA,NA,NA,NA,NA,NA,-4.99429292157952,NA
"100038638_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038653_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038654_at",NA,NA,-5.52883740049386,-6.33479749532061,-7.61426563168652,NA,NA,NA
"100038657_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038659_at",-4.15796136126753,-4.3684048069807,-2.69019995795003,-3.25824604862295,-5.27342192449428,-2.36107627206717,-3.2398810385355,-2.75980687068986
"100038666_at",-4.57258464885992,-4.68681601416004,-5.83911408591143,NA,-7.40148831425075,-5.12733487676974,-4.92400521090416,-4.13272444744508
"100038671_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038689_at",-7.50171857319539,-5.63419112928143,-6.79778255501049,-5.56124896587478,-6.80090309549336,-4.65044050388333,-7.43263885527753,NA
"100038690_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038693_at",NA,NA,NA,NA,NA,-5.37133235592064,NA,NA
"100038699_at",NA,NA,-7.7354158566673,NA,NA,NA,NA,NA
"100038700_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038708_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038709_at",NA,NA,NA,NA,NA,NA,NA,NA
"100038712_at",-3.98834874169054,-4.73823580175315,-4.78939999132691,-4.11487679844598,-3.34616869176212,-6.22049746496062,-4.72671093948256,-4.92117233479825
