"","GSM5917081","GSM5917082","GSM5917083","GSM5917084","GSM5917085","GSM5917086","GSM5917087","GSM5917088"
"ASCRP3000001",2.75477097386446,2.66266013791004,2.74385533111371,2.71165735047244,2.72105406958087,2.7257725268741,2.6710150891787,2.6823167757245
"ASCRP3000002",3.47820667361984,3.39124973987144,3.44150044150775,3.38320117656296,3.44909040472694,3.3901972776384,3.40021693794838,3.37064916921573
"ASCRP3000003",3.19742957424396,3.25178580022216,3.21863905408357,3.25123739000324,3.24473763155122,3.16723756607678,3.34734230473922,3.27718680957244
"ASCRP3000004",2.90166902969975,2.70986479393943,2.76144869634459,2.71165735047244,2.7927369701098,2.6823167757245,2.77422604103164,2.70027163149203
"ASCRP3000005",2.92806362206598,2.83121037597166,2.90612847112004,2.84817695307839,2.88640890202902,2.84279636567457,2.89023916411857,2.84775078322794
"ASCRP3000006",2.69750657023606,2.70244502695942,2.62367074029899,2.69804966080167,2.62959736440147,2.68407057689178,2.72408750437119,2.73877957693998
"ASCRP3000007",3.14095082641858,3.0662135097555,2.99455939945001,3.07133465078331,3.01086017511982,2.99189880431847,3.13909664706513,3.10897766982768
"ASCRP3000008",2.64555762417846,2.76144869634459,2.7668574228167,2.74680755993748,2.78605576098399,2.78731818345616,2.75627884922124,2.74561435966488
"ASCRP3000009",2.77628198333559,2.66266013791004,2.65143056268035,2.65665750750137,2.6710150891787,2.64010977503783,2.70332127728177,2.66353246470492
"ASCRP3000010",3.03236675568051,2.83205997024801,2.83633381621627,2.79205044815989,2.83767487161833,2.74680755993748,2.77422604103164,2.76668658350913
"ASCRP3000011",2.84078774987236,2.80920168577429,2.81402812808049,2.79999323388694,2.79984361251289,2.83121037597166,2.80044155595904,2.77529301695983
"ASCRP3000012",2.92298238368145,2.69800153281883,2.76361065052513,2.70881050104735,2.78755417800006,2.7171700140063,2.75627884922124,2.7171700140063
"ASCRP3000013",2.76668658350913,2.82883830767508,2.89197824183464,2.82644310930175,2.8449131020598,2.87973999773638,2.83996785173082,2.83375044853449
"ASCRP3000014",2.7344876995926,2.6435327167513,2.70559291363459,2.65665750750137,2.70934532319688,2.71911927691836,2.66266013791004,2.64582924384454
"ASCRP3000015",3.52309938900556,3.51331801610124,3.51099167645399,3.53739361284224,3.50281848674686,3.46009269625986,3.57049565481591,3.53422416671016
"ASCRP3000016",3.06259857404346,2.89911016100253,2.9570278950014,2.89572041398821,3.02250890330224,2.89390736414862,3.00884610779112,2.93196421584089
"ASCRP3000017",2.85163976478223,2.67027256876056,2.74011111097046,2.69960701509242,2.7069838601932,2.68823968112165,2.70676811827312,2.70211567530462
"ASCRP3000018",3.46146170100482,3.35287929768052,3.38924379087418,3.36269929058339,3.40943691833909,3.43335540477215,3.13104179810544,3.30903886685375
"ASCRP3000019",2.74954351676288,2.73119390248425,2.71953060052413,2.74030076665897,2.73526224868826,2.77198591478314,2.74291876623983,2.72256870419939
"ASCRP3000020",2.69561458004494,2.65196184984381,2.63748439822465,2.64691299989466,2.64066376891827,2.65613542236894,2.61417760205386,2.64582924384454
"ASCRP3000021",2.74561435966488,2.6663140017226,2.67027256876056,2.63955464689119,2.65691817007818,2.68721173239573,2.64555762417846,2.63899838000795
"ASCRP3000022",2.8447886078178,2.74809804442008,2.7502738678336,2.75565483405531,2.76162311212977,2.76846537484197,2.78980855152435,2.78980855152435
